Jugador,Equipo,Competición,Posición,Edad,Partidos,Minutos,Goles,Asistencias,xG,xAG,npxG,ValorMercado,PasesCompletados,IntentosPase,PctPasesCompletados,DistanciaTotalPases,DistanciaProgresiva,PasesClave,Entradas,Intercepciones,Bloqueos,TarjetasAmarillas,TarjetasRojas,Goles_Asistencias,xG_xAG,Equiv_90min,EntradasGanadas,AsistDesdeCruzados,Tiros,TirosAlArco
Maat Daniel Caprini,Fiorentina,Serie A,FW,19,2,8,0,0,0.0,0.0,0.0,2000000.0,5,6,83.3,66,21,0,0,0,0,0,0,0,0.0,0.1,0,0,0,0
Issa Doumbia,Venezia,Serie A,MF,21,17,734,0,0,0.6,0.1,0.6,2000000.0,161,213,75.6,2166,538,3,10,7,15,0,0,0,0.1,8.2,7,0,10,3
Benedikt Pichler,Holstein Kiel,Bundesliga,FW,27,17,773,1,2,2.2,1.1,2.2,2000000.0,130,205,63.4,1885,315,12,5,2,4,1,0,3,0.38,8.6,2,2,18,8
Finn Porath,Holstein Kiel,Bundesliga,"DF,MF",28,26,1820,2,3,1.8,1.9,1.8,2000000.0,450,673,66.9,8975,3193,19,43,18,24,3,0,5,0.18,20.2,24,10,25,11
Álvaro Aguado,Espanyol,La Liga,MF,28,14,416,0,1,0.4,0.6,0.4,2000000.0,168,221,76.0,3272,1041,4,4,3,6,3,0,1,0.22,4.6,2,3,9,0
Jonas Rouhi,Juventus,Serie A,DF,21,5,210,0,0,0.0,0.0,0.0,2000000.0,126,159,79.2,2022,643,0,4,3,2,0,0,0,0.0,2.3,1,0,0,0
Maxim Leitsch,Mainz 05,Bundesliga,DF,26,14,674,1,0,1.2,0.2,1.2,2000000.0,289,370,78.1,5085,1676,2,12,10,12,2,0,1,0.19,7.5,4,0,6,1
Adu Ares,Athletic Club,La Liga,FW,23,1,19,0,0,0.0,0.0,0.0,2000000.0,5,9,55.6,64,15,0,0,0,0,0,0,0,0.0,0.2,0,0,0,0
Sergi Roberto,Como,Serie A,MF,33,12,684,0,1,0.7,0.7,0.7,2000000.0,451,499,90.4,5970,1405,15,14,9,7,4,0,1,0.18,7.6,8,0,6,1
Florent Muslija,Freiburg,Bundesliga,"FW,MF",26,9,168,0,0,0.3,0.3,0.3,2000000.0,71,98,72.4,1104,287,3,5,1,0,0,0,0,0.3,1.9,4,0,3,2
Lukas Kübler,Freiburg,Bundesliga,DF,32,22,1620,5,0,2.5,0.5,2.5,2000000.0,700,909,77.0,12085,3770,8,35,45,27,5,0,5,0.17,18.0,17,4,15,9
Brian Oliván,Espanyol,La Liga,DF,31,17,1017,0,1,0.4,1.1,0.4,2000000.0,317,458,69.2,5671,2788,15,13,10,6,2,0,1,0.13,11.3,10,9,6,1
Hugo Novoa,Alavés,La Liga,"DF,MF",22,5,237,0,0,0.5,0.2,0.5,2000000.0,53,69,76.8,798,261,2,8,0,2,0,0,0,0.26,2.6,5,2,1,0
Santiago Mouriño,Alavés,La Liga,DF,23,19,1309,0,1,0.7,0.8,0.7,2000000.0,374,488,76.6,6866,2884,6,29,20,20,4,0,1,0.1,14.5,20,2,9,3
Oussama El Azzouzi,Bologna,Serie A,MF,23,1,8,0,0,0.0,0.0,0.0,2000000.0,3,4,75.0,55,0,0,0,2,0,0,0,0,0.0,0.1,0,0,0,0
Mattia Bani,Genoa,Serie A,DF,31,17,1333,0,0,0.7,0.2,0.7,2000000.0,678,778,87.1,13729,4959,2,18,19,9,3,0,0,0.06,14.8,9,1,5,2
Giorgio Altare,Venezia,Serie A,DF,26,12,753,0,0,0.2,0.1,0.2,2000000.0,283,389,72.8,5113,1998,1,13,17,21,2,0,0,0.04,8.4,12,1,3,1
Álvaro Tejero,Espanyol,La Liga,"MF,DF",28,23,1153,1,4,0.6,2.7,0.6,2000000.0,390,549,71.0,7173,2646,29,12,11,9,2,0,5,0.26,12.8,4,10,16,4
Asier Villalibre,Alavés,La Liga,FW,27,15,314,1,1,1.6,1.0,0.8,1800000.0,42,65,64.6,622,143,1,1,1,1,2,0,2,0.73,3.5,1,0,7,1
Iker Losada,Betis,La Liga,"MF,FW",23,10,336,0,0,0.5,0.3,0.5,1800000.0,107,142,75.4,1421,331,6,10,3,2,0,0,0,0.21,3.7,7,1,2,1
Theo Bair,Auxerre,Ligue 1,FW,25,24,827,2,1,2.7,1.2,2.7,1800000.0,116,191,60.7,1363,324,10,4,3,6,1,0,3,0.42,9.2,3,0,21,12
Liam Henderson,Empoli,Serie A,MF,28,29,1858,0,2,0.4,2.9,0.4,1800000.0,562,769,73.1,9726,3055,27,36,13,15,9,0,2,0.16,20.6,17,8,14,2
Jim Allevinah,Angers,Ligue 1,FW,30,23,1512,0,3,3.7,2.4,3.7,1800000.0,311,419,74.2,4464,1089,14,15,10,9,3,0,3,0.37,16.8,9,3,32,7
Pedro Pereira,Monza,Serie A,DF,27,29,2170,1,3,1.2,1.4,1.2,1800000.0,671,860,78.0,11482,3458,11,38,16,19,7,0,4,0.11,24.1,24,9,12,6
Emil Bohinen,Genoa,Serie A,MF,26,3,166,0,0,0.1,0.1,0.1,1800000.0,69,86,80.2,1180,161,3,4,1,2,0,0,0,0.09,1.8,4,0,2,0
Juan Berrocal,Getafe,La Liga,DF,25,13,800,0,0,0.2,0.0,0.2,1800000.0,221,293,75.4,4552,1943,1,14,11,2,6,1,0,0.03,8.9,7,0,3,0
Grigoris Kastanos,Hellas Verona,Serie A,"MF,FW",27,22,799,1,1,0.9,1.5,0.9,1800000.0,194,279,69.5,3246,1157,9,22,7,16,3,0,2,0.27,8.9,15,1,19,5
Cédric Bakambu,Betis,La Liga,FW,33,20,579,2,2,2.9,0.6,2.9,1800000.0,64,98,65.3,758,164,8,5,0,8,4,0,4,0.54,6.4,3,0,20,9
Ado Onaiwu,Auxerre,Ligue 1,"MF,FW",29,24,643,2,1,3.4,0.7,3.4,1800000.0,176,241,73.0,2325,546,7,6,2,3,0,1,3,0.57,7.1,5,3,19,10
Rayan Raveloson,Auxerre,Ligue 1,"MF,DF",28,13,724,1,0,0.8,0.2,0.8,1800000.0,271,313,86.6,5021,1334,3,6,5,8,3,0,1,0.12,8.0,5,0,16,5
Amine Salama,Reims,Ligue 1,FW,24,17,373,0,0,0.7,0.3,0.7,1800000.0,62,82,75.6,976,197,5,3,1,2,0,0,0,0.25,4.1,2,0,9,3
Koji Miyoshi,Bochum,Bundesliga,"FW,MF",28,14,450,1,0,1.1,0.8,1.1,1800000.0,74,127,58.3,1145,387,5,8,2,10,0,1,1,0.38,5.0,5,0,12,5
Phillipp Mwene,Mainz 05,Bundesliga,DF,31,27,2269,0,4,1.2,1.7,1.2,1800000.0,846,1113,76.0,14158,5083,18,41,22,26,6,0,4,0.11,25.2,23,16,18,3
Ivan Ordets,Bochum,Bundesliga,DF,32,19,1592,0,0,0.5,0.1,0.5,1800000.0,612,766,79.9,13125,4833,3,17,35,23,4,0,0,0.04,17.7,7,0,9,0
Kike Barja,Osasuna,La Liga,"FW,MF",28,9,247,0,0,0.2,0.5,0.2,1800000.0,52,84,61.9,888,211,5,3,3,5,2,0,0,0.25,2.7,3,4,4,1
Birama Touré,Montpellier,Ligue 1,"MF,DF",32,8,300,0,0,0.0,0.1,0.0,1800000.0,101,123,82.1,1809,621,3,8,6,3,2,0,0,0.04,3.3,5,0,3,1
Kevin Volland,Union Berlin,Bundesliga,"FW,MF",32,3,53,0,0,0.0,0.0,0.0,1800000.0,8,11,72.7,83,24,0,0,0,0,1,0,0,0.0,0.6,0,0,0,0
César Azpilicueta,Atlético Madrid,La Liga,DF,35,9,650,1,0,0.2,0.0,0.2,1800000.0,447,519,86.1,7124,2776,2,20,2,3,0,0,1,0.04,7.2,10,1,5,2
Miha Zajc,Toulouse,Ligue 1,MF,30,17,245,0,0,0.2,0.1,0.2,1800000.0,148,179,82.7,2376,494,3,4,3,1,2,0,0,0.11,2.7,4,0,6,2
Selim Amallah,Valladolid,La Liga,MF,28,19,1108,3,1,2.7,0.6,1.9,1800000.0,253,325,77.8,4244,1271,10,21,7,19,6,0,4,0.27,12.3,14,0,18,6
Alberto Moreno,Como,Serie A,DF,32,19,1416,0,0,0.3,1.0,0.3,1800000.0,729,878,83.0,12744,4389,16,23,12,10,4,0,0,0.08,15.7,10,10,11,4
Marcos Alonso,Celta Vigo,La Liga,DF,34,24,2070,2,0,2.4,1.0,0.8,1800000.0,1662,1870,88.9,29736,10946,14,26,27,19,9,1,2,0.15,23.0,18,5,20,7
Tanguy Coulibaly,Montpellier,Ligue 1,"FW,MF",24,17,825,2,0,2.5,0.8,2.5,1800000.0,169,225,75.1,2371,452,14,14,6,11,3,2,2,0.36,9.2,10,1,20,9
Rui Modesto,Udinese,Serie A,"DF,MF",25,14,301,0,0,0.4,0.1,0.4,1800000.0,115,160,71.9,1697,503,3,9,6,4,1,0,0,0.16,3.3,6,3,2,2
Goduine Koyalipou,Lens,Ligue 1,FW,25,8,410,1,0,1.2,0.5,1.2,1800000.0,73,106,68.9,1088,199,5,1,0,0,0,0,1,0.37,4.6,1,0,17,4
Drissa Camara,Parma,Serie A,"MF,FW",23,19,397,0,0,1.2,0.5,1.2,1800000.0,122,164,74.4,1944,516,3,9,3,6,3,0,0,0.38,4.4,7,0,15,5
Kevin Bonifazi,Lecce,Serie A,DF,28,3,65,0,0,0.0,0.0,0.0,1800000.0,37,42,88.1,645,238,0,1,2,1,0,0,0,0.0,0.7,1,0,0,0
Tommaso Augello,Cagliari,Serie A,"DF,FW",30,30,2022,0,5,0.2,3.9,0.2,1800000.0,874,1227,71.2,15289,6397,32,41,15,17,2,0,5,0.18,22.5,22,24,6,0
Dani Raba,Leganés,La Liga,"MF,FW",29,21,1275,6,4,5.7,3.2,2.5,1800000.0,282,439,64.2,4986,1770,31,32,12,21,3,0,10,0.63,14.2,21,2,22,7
Rubén Peña,Osasuna,La Liga,"FW,DF",33,21,662,0,0,0.7,0.5,0.7,1800000.0,150,256,58.6,2474,1145,12,8,5,9,1,0,0,0.17,7.4,2,4,10,3
Javier Manquillo,Celta Vigo,La Liga,DF,30,10,515,0,0,0.0,0.0,0.0,1800000.0,335,373,89.8,5537,1582,0,7,7,5,1,0,0,0.0,5.7,5,0,0,0
Oliver Burke,Werder Bremen,Bundesliga,FW,27,20,560,3,0,2.9,0.9,2.9,1800000.0,115,196,58.7,1366,271,9,9,2,14,4,0,3,0.6,6.2,4,2,24,6
Stefan Lainer,Gladbach,Bundesliga,DF,32,17,567,1,0,0.2,0.9,0.2,1800000.0,286,363,78.8,4676,1459,7,18,9,8,2,0,1,0.17,6.3,10,4,2,1
Javi Sánchez,Valladolid,La Liga,DF,28,22,1839,1,0,0.4,0.3,0.4,1800000.0,878,1018,86.2,17719,6443,6,23,20,34,5,0,1,0.03,20.4,15,0,10,4
Dane Scarlett,Tottenham,Premier League,"FW,MF",21,3,34,0,1,0.0,0.0,0.0,1800000.0,3,5,60.0,37,20,1,1,0,0,0,0,1,0.22,0.4,0,0,1,1
Oriol Romeu,Girona,La Liga,MF,33,19,1163,0,0,0.1,0.2,0.1,1800000.0,682,760,89.7,11795,2477,6,31,11,19,5,0,0,0.03,12.9,21,1,3,0
Yordan Osorio,Parma,Serie A,DF,30,3,172,0,0,0.0,0.1,0.0,1700000.0,104,119,87.4,1866,555,1,5,4,3,0,0,0,0.08,1.9,3,0,1,0
Alberto Cerri,Como,Serie A,FW,28,5,87,0,0,1.0,0.0,1.0,1700000.0,15,23,65.2,184,7,0,0,0,2,0,0,0,1.05,1.0,0,0,4,1
Hamza Rafia,Lecce,Serie A,MF,26,18,1058,0,0,0.5,1.4,0.5,1700000.0,409,527,77.6,6442,2203,16,44,4,7,4,0,0,0.16,11.8,27,6,10,2
Alessandro Deiola,Cagliari,Serie A,MF,29,22,1127,0,1,0.8,0.6,0.8,1600000.0,298,410,72.7,5121,1318,3,24,11,19,4,0,1,0.11,12.5,16,0,14,2
Gabriel Charpentier,Parma,Serie A,FW,25,10,271,1,2,1.3,0.9,1.3,1600000.0,33,55,60.0,508,188,7,4,0,3,1,0,3,0.75,3.0,3,0,9,4
Matthias Braunöder,Como,Serie A,MF,23,8,268,0,0,0.1,0.0,0.1,1600000.0,128,146,87.7,2154,616,0,10,2,3,3,1,0,0.03,3.0,4,0,2,0
Cenk Özkacar,Valladolid,La Liga,DF,24,5,262,0,0,0.1,0.0,0.1,1500000.0,110,131,84.0,2076,826,0,4,10,4,0,0,0,0.02,0.0,3,0,1,0
Pere Milla,Espanyol,La Liga,"MF,FW",32,13,268,1,0,0.6,0.1,0.6,1500000.0,60,105,57.1,1008,294,2,3,2,9,3,0,1,0.23,3.0,1,0,7,3
Mario Martín,Valladolid,La Liga,MF,21,24,1504,0,1,1.1,1.4,1.1,1500000.0,570,672,84.8,10093,2598,11,53,19,25,7,2,1,0.15,16.7,28,1,24,11
Alberto Marí,Valencia,La Liga,FW,23,1,7,0,0,0.0,0.0,0.0,1500000.0,2,4,50.0,33,7,0,0,0,0,0,0,0,0.0,0.1,0,0,0,0
Sergi Canós,Valencia,La Liga,"MF,FW",28,16,363,0,1,0.5,0.2,0.5,1500000.0,89,155,57.4,1455,409,4,11,5,5,3,0,1,0.17,4.0,7,3,10,3
Jonny Evans,Manchester Utd,Premier League,DF,37,6,290,0,0,0.1,0.0,0.1,1500000.0,174,196,88.8,2809,784,0,7,4,2,1,0,0,0.03,3.2,5,0,1,0
Rafael Tolói,Atalanta,Serie A,DF,34,8,345,0,0,0.0,0.2,0.0,1500000.0,216,243,88.9,3428,1071,3,9,7,6,0,0,0,0.06,3.8,5,0,2,0
Óscar de Marcos,Athletic Club,La Liga,DF,35,22,1291,0,4,0.8,1.9,0.8,1500000.0,684,860,79.5,12047,4454,17,28,14,15,0,0,4,0.19,14.3,13,14,6,2
Max Geschwill,Holstein Kiel,Bundesliga,DF,23,17,1214,1,2,0.9,0.8,0.9,1500000.0,484,648,74.7,9197,4058,10,26,27,14,2,0,3,0.12,13.5,21,2,9,2
Kevin Behrens,Wolfsburg,Bundesliga,FW,34,16,148,1,0,1.3,0.1,1.3,1500000.0,41,69,59.4,567,103,2,1,1,0,2,0,1,0.88,1.6,1,0,7,3
Aïssa Mandi,Lille,Ligue 1,DF,33,20,1451,0,0,0.3,0.4,0.3,1500000.0,914,1027,89.0,18116,5740,5,25,14,21,3,0,0,0.05,16.1,15,2,6,2
Issa Soumaré,Le Havre,Ligue 1,"MF,FW",24,22,1347,3,3,2.6,2.3,2.6,1500000.0,231,378,61.1,3292,800,19,15,8,13,0,0,6,0.33,15.0,9,1,30,14
Anthony Lopes,Nantes,Ligue 1,GK,34,13,1170,0,0,0.0,0.0,0.0,1500000.0,247,422,58.5,8046,6154,0,1,0,0,1,0,0,0.0,13.0,0,0,0,0
Enric Franquesa,Leganés,La Liga,"DF,FW",28,12,616,1,0,0.3,0.1,0.3,1500000.0,158,225,70.2,2513,1004,2,17,5,7,1,0,1,0.06,6.8,9,2,3,1
Adam Masina,Torino,Serie A,DF,31,21,1497,1,2,0.4,0.3,0.4,1500000.0,836,994,84.1,15392,5660,3,29,19,23,5,0,3,0.04,16.6,14,2,6,2
Kevin Martins,Monza,Serie A,"MF,DF",20,9,183,0,1,0.0,0.4,0.0,1500000.0,38,56,67.9,633,139,2,5,1,1,1,0,1,0.19,2.0,4,1,0,0
Nathaniel Clyne,Crystal Palace,Premier League,"DF,MF",34,12,455,0,0,0.0,0.3,0.0,1500000.0,165,217,76.0,3026,1102,3,12,3,4,1,0,0,0.06,5.1,8,1,1,0
Alexander Bernhardsson,Holstein Kiel,Bundesliga,"MF,DF",26,13,776,3,1,1.5,0.7,1.5,1500000.0,140,231,60.6,2239,795,11,16,3,12,3,0,4,0.25,8.6,10,2,14,6
Aitor Fernández,Osasuna,La Liga,GK,33,1,90,0,0,0.0,0.0,0.0,1500000.0,29,45,64.4,1243,1147,0,0,0,0,0,0,0,0.0,1.0,0,0,0,0
Edu Expósito,Espanyol,La Liga,"MF,FW",28,10,336,0,1,0.2,1.3,0.2,1500000.0,85,146,58.2,1612,605,7,8,5,1,2,0,1,0.41,3.7,4,0,6,0
Javi Martínez,Osasuna,La Liga,MF,25,1,6,0,0,0.0,0.0,0.0,1500000.0,9,9,100.0,126,55,0,0,0,0,0,0,0,0.0,0.1,0,0,0,0
Yoann Salmier,Le Havre,Ligue 1,DF,32,13,797,0,0,0.8,0.2,0.8,1500000.0,283,346,81.8,5596,1997,2,14,10,12,3,0,0,0.12,8.9,7,0,5,2
Daniel Mosquera,Hellas Verona,Serie A,FW,25,27,981,5,1,5.0,1.3,5.0,1500000.0,160,234,68.4,2037,411,12,9,1,7,2,0,6,0.57,10.9,6,0,36,11
Florent Mollet,Nantes,Ligue 1,"MF,FW",33,9,242,0,0,0.3,0.3,0.3,1500000.0,83,106,78.3,1300,307,6,2,1,2,1,0,0,0.24,2.7,2,1,6,2
Enzo Loiodice,Las Palmas,La Liga,MF,24,15,504,0,0,0.1,0.1,0.1,1500000.0,266,317,83.9,4467,1005,3,11,5,4,3,0,0,0.04,5.6,4,0,4,2
Luis Pérez,Valladolid,La Liga,DF,30,27,2333,0,0,0.1,1.8,0.1,1500000.0,828,1097,75.5,14786,5423,23,38,26,26,2,0,0,0.07,25.9,27,28,3,1
Marco Sportiello,Milan,Serie A,GK,32,1,90,0,0,0.0,0.0,0.0,1500000.0,39,42,92.9,953,556,0,0,0,0,0,0,0,0.0,1.0,0,0,0,0
Abdón Prats,Mallorca,La Liga,"FW,MF",32,21,376,2,0,1.9,0.0,1.1,1500000.0,47,69,68.1,721,146,1,1,1,2,4,0,2,0.47,4.2,1,0,11,4
Silvan Widmer,Mainz 05,Bundesliga,DF,32,22,399,0,1,0.1,0.4,0.1,1500000.0,165,220,75.0,2822,956,2,10,5,6,3,0,1,0.1,4.4,5,2,2,0
Munir El Haddadi,Leganés,La Liga,"FW,MF",29,17,526,2,0,0.7,0.6,0.7,1500000.0,104,150,69.3,1314,351,3,11,0,6,1,1,2,0.22,5.8,8,1,9,4
Fernando Calero,Espanyol,La Liga,"DF,MF",29,14,436,1,0,0.3,0.0,0.3,1500000.0,156,187,83.4,3211,1255,1,9,12,9,0,0,1,0.06,4.8,4,0,2,1
Henri Koudossou,Augsburg,Bundesliga,DF,25,16,621,0,0,0.1,0.5,0.1,1500000.0,219,284,77.1,3408,1216,6,17,12,8,1,0,0,0.08,6.9,10,3,2,0
Magnus Kofod Andersen,Venezia,Serie A,MF,25,14,695,1,1,0.3,0.5,0.3,1500000.0,247,309,79.9,3986,1038,9,13,6,7,1,0,2,0.1,7.7,4,0,8,2
Ibrahima Niane,Angers,Ligue 1,FW,26,22,896,3,1,5.7,1.0,4.9,1500000.0,124,182,68.1,1646,278,9,6,2,5,0,0,4,0.68,10.0,3,0,29,10
Timon Weiner,Holstein Kiel,Bundesliga,GK,26,25,2250,0,0,0.0,0.0,0.0,1500000.0,682,991,68.8,19635,14240,0,0,0,0,4,0,0,0.0,25.0,0,0,0,0
Hauke Wahl,St. Pauli,Bundesliga,DF,30,26,2340,0,0,0.6,0.5,0.6,1500000.0,1171,1363,85.9,20303,7118,7,28,29,34,0,0,0,0.04,26.0,21,1,7,3
Randy Nteka,Rayo Vallecano,La Liga,FW,27,22,972,3,0,2.6,0.5,2.6,1500000.0,126,197,64.0,1596,202,9,12,4,12,6,0,3,0.29,10.8,5,0,16,8
Gianluca Lapadula,Cagliari,Serie A,"FW,MF",35,12,310,0,0,1.4,0.1,1.4,1500000.0,38,63,60.3,433,77,3,2,0,0,1,0,0,0.42,3.4,0,0,15,3
Pietro Terracciano,Fiorentina,Serie A,GK,35,3,270,0,0,0.0,0.0,0.0,1500000.0,70,89,78.7,1552,957,0,0,0,0,0,0,0,0.0,3.0,0,0,0,0
Nicola Leali,Genoa,Serie A,GK,32,24,2160,0,0,0.0,0.0,0.0,1500000.0,552,780,70.8,15367,10747,0,0,0,0,1,0,0,0.0,24.0,0,0,0,0
Jeffrey Gouweleeuw,Augsburg,Bundesliga,DF,33,27,2404,1,4,1.3,1.9,0.6,1500000.0,1078,1320,81.7,22880,10084,12,42,29,29,9,0,5,0.12,26.7,23,2,11,2
Tim Siersleben,Heidenheim,Bundesliga,DF,25,11,732,0,0,0.3,0.4,0.3,1500000.0,318,406,78.3,6981,3435,4,16,15,14,4,0,0,0.08,8.1,11,2,3,1
Alfonso Espino,Rayo Vallecano,La Liga,DF,33,10,578,0,0,0.3,0.0,0.3,1500000.0,242,334,72.5,3810,1792,1,30,10,11,3,0,0,0.04,6.4,16,1,7,2
Stefano Sensi,Monza,Serie A,MF,29,8,211,1,0,0.9,0.0,0.1,1500000.0,180,206,87.4,3495,1077,0,6,3,3,0,0,1,0.37,2.3,4,0,4,1
Roberto López,Leganés,La Liga,MF,24,12,393,0,1,0.5,0.9,0.5,1500000.0,152,205,74.1,2443,735,10,7,1,4,0,0,1,0.31,4.4,5,1,6,1
Florian Ayé,Auxerre,Ligue 1,FW,28,19,445,2,0,1.6,0.1,1.6,1500000.0,81,109,74.3,1037,133,1,2,4,5,0,0,2,0.34,4.9,2,0,8,3
Denis Genreau,Toulouse,Ligue 1,MF,25,8,222,0,0,0.3,0.5,0.3,1500000.0,105,127,82.7,1588,460,5,7,3,3,0,0,0,0.31,2.5,5,0,6,0
Marius Müller,Wolfsburg,Bundesliga,GK,31,6,475,0,0,0.0,0.0,0.0,1500000.0,154,218,70.6,4852,3396,0,0,0,0,0,0,0,0.0,5.3,0,0,0,0
Wahbi Khazri,Montpellier,Ligue 1,"FW,MF",34,25,992,1,1,2.2,2.2,2.2,1500000.0,218,322,67.7,3802,1177,18,22,5,11,3,0,2,0.39,11.0,16,5,33,6
Ante Rebić,Lecce,Serie A,"FW,MF",31,23,602,1,0,1.6,1.8,1.6,1500000.0,151,241,62.7,2126,725,16,10,1,5,3,1,1,0.52,6.7,8,3,10,2
Julien Le Cardinal,Brest,Ligue 1,DF,27,14,1243,0,1,0.4,0.3,0.4,1500000.0,640,743,86.1,13277,5017,4,23,26,17,2,0,1,0.05,13.8,13,0,10,3
Fer López,Celta Vigo,La Liga,"FW,MF",0,10,322,1,0,0.6,1.2,0.6,1500000.0,108,130,83.1,1729,438,6,6,1,6,2,0,1,0.5,3.6,3,0,9,2
Stefano Sabelli,Genoa,Serie A,DF,32,27,1740,0,1,0.1,1.5,0.1,1500000.0,656,974,67.4,12569,6332,15,52,20,27,2,0,1,0.08,19.3,29,11,5,0
Samuel Grandsir,Le Havre,Ligue 1,"MF,FW",28,6,84,0,0,0.0,0.6,0.0,1500000.0,20,32,62.5,357,133,3,5,0,2,0,0,0,0.67,0.9,5,1,0,0
Carlens Arcus,Angers,Ligue 1,DF,28,23,1695,0,1,0.0,1.2,0.0,1500000.0,687,867,79.2,11531,4068,15,43,24,20,2,0,1,0.07,18.8,29,9,3,0
Manu Bueno,Sevilla,La Liga,MF,20,6,104,1,0,0.1,0.0,0.1,1500000.0,43,48,89.6,705,82,0,4,0,0,0,0,1,0.11,1.2,3,0,4,1
Karim Onisiwo,Mainz 05,Bundesliga,"MF,FW",33,6,110,0,0,0.1,0.3,0.1,1500000.0,15,24,62.5,223,31,1,1,0,0,0,0,0,0.33,1.2,1,1,3,0
Mamadou Diakhon,Reims,Ligue 1,"FW,MF",19,23,688,2,1,0.8,0.8,0.8,1500000.0,162,211,76.8,2896,352,10,12,2,4,2,0,3,0.2,7.6,8,2,14,7
Arthur Desmas,Le Havre,Ligue 1,GK,30,18,1620,0,0,0.0,0.0,0.0,1500000.0,411,522,78.7,10272,6469,1,0,0,0,2,0,0,0.0,18.0,0,0,0,0
Danny da Costa,Mainz 05,Bundesliga,DF,31,19,1531,0,1,0.1,0.5,0.1,1500000.0,725,930,78.0,13510,5464,8,33,19,17,0,0,1,0.03,17.0,19,6,2,0
Mattia Valoti,Monza,Serie A,MF,31,5,40,0,0,0.0,0.0,0.0,1500000.0,12,19,63.2,235,60,0,3,0,2,1,0,0,0.0,0.4,3,0,0,0
Sirlord Conteh,Heidenheim,Bundesliga,"FW,MF",28,25,705,1,1,1.3,1.5,1.3,1500000.0,130,187,69.5,1965,492,10,9,1,1,1,0,2,0.36,7.8,5,2,8,4
Lasso Coulibaly,Auxerre,Ligue 1,"FW,MF",22,2,38,1,0,0.2,0.0,0.2,1500000.0,9,10,90.0,111,0,0,0,0,0,0,0,1,0.52,0.4,0,0,2,1
Marcus Coco,Nantes,Ligue 1,DF,28,18,927,0,1,0.1,1.2,0.1,1500000.0,375,473,79.3,6317,2371,10,27,10,16,3,1,1,0.13,10.3,21,6,2,0
Cole Campbell,Dortmund,Bundesliga,"MF,FW",19,4,22,0,0,0.0,0.0,0.0,1500000.0,13,15,86.7,176,46,0,0,0,0,0,0,0,0.0,0.2,0,1,0,0
Lautaro Valenti,Parma,Serie A,DF,26,14,1076,1,0,0.2,0.2,0.2,1500000.0,523,609,85.9,9997,3104,3,13,7,15,3,0,1,0.03,12.0,10,1,7,2
Fodé Ballo-Touré,Le Havre,Ligue 1,DF,28,4,206,0,0,0.0,0.0,0.0,1500000.0,96,115,83.5,1606,380,0,2,1,2,0,0,0,0.0,2.3,2,1,0,0
Julian Niehues,Heidenheim,Bundesliga,MF,23,4,52,0,0,0.0,0.1,0.0,1500000.0,13,23,56.5,200,59,1,1,0,1,0,0,0,0.16,0.6,0,0,0,0
Yuri Berchiche,Athletic Club,La Liga,DF,35,24,1560,0,2,0.5,2.1,0.5,1500000.0,910,1078,84.4,16098,5819,17,26,17,18,3,0,2,0.15,17.3,16,6,14,4
Gianluca Caprari,Monza,Serie A,"MF,FW",31,27,1115,2,1,2.6,1.5,1.0,1500000.0,374,474,78.9,5976,1389,23,15,3,11,3,0,3,0.33,12.4,9,2,15,5
Mamadou Sylla,Valladolid,La Liga,"FW,MF",31,22,1179,3,1,3.6,1.5,2.0,1500000.0,120,195,61.5,1810,360,11,4,2,5,3,0,4,0.38,13.1,2,0,17,3
Robin Olsen,Aston Villa,Premier League,GK,35,3,180,0,0,0.0,0.0,0.0,1500000.0,54,76,71.1,1466,983,0,1,0,0,0,0,0,0.0,2.0,0,0,0,0
Amadou Koné,Reims,Ligue 1,MF,19,17,808,0,0,0.4,0.1,0.4,1500000.0,340,385,88.3,6027,1645,4,35,14,11,1,1,0,0.06,9.0,24,0,9,1
Hervé Koffi,Lens,Ligue 1,GK,28,5,450,0,0,0.0,0.0,0.0,1500000.0,98,135,72.6,2631,1938,0,1,0,0,2,0,0,0.0,5.0,1,0,0,0
Ivan Prtajin,Union Berlin,Bundesliga,FW,28,5,161,0,0,0.5,0.1,0.5,1500000.0,18,48,37.5,204,37,1,3,0,2,0,0,0,0.37,1.8,2,1,8,2
Tymoteusz Puchacz,Holstein Kiel,Bundesliga,DF,26,10,396,0,1,0.1,0.6,0.1,1500000.0,137,195,70.3,2283,769,8,9,3,4,0,0,1,0.16,4.4,4,6,4,1
Ayden Heaven,Manchester Utd,Premier League,DF,18,2,95,0,0,0.0,0.0,0.0,1500000.0,40,49,81.6,695,185,0,3,1,2,0,0,0,0.0,1.1,3,0,0,0
Cédric Hountondji,Angers,Ligue 1,DF,31,3,270,0,0,0.0,0.0,0.0,1500000.0,85,100,85.0,1652,391,0,6,4,3,0,0,0,0.0,3.0,4,0,0,0
Mathias Honsak,Heidenheim,Bundesliga,"FW,DF",28,18,1070,4,1,3.2,1.5,3.2,1500000.0,276,396,69.7,4910,1327,13,15,7,17,1,0,5,0.4,11.9,8,8,26,9
Balthazar Pierret,Lecce,Serie A,MF,24,23,1302,0,0,0.1,0.3,0.1,1500000.0,547,646,84.7,8480,2632,8,40,15,15,2,0,0,0.03,14.5,25,1,4,0
