Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls.1,stats_Ast.1,stats_G+A.1,stats_G-PK.1,stats_G+A-PK,stats_xG.1,stats_xAG.1,stats_xG+xAG,stats_npxG.1,stats_npxG+xAG.1,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive.1,gca_PassDead.1,gca_TO.1,gca_Sh.1,gca_Fld.1,gca_Def.1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl.1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off.1,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%,first_name,last_name,full_name,market_value_in_eur,highest_market_value_in_eur
Rayan Ait-Nouri,dz ALG,DF,Wolves,Premier League,23,2001,30,30,"2,549",28.3,3,5,8,3,0,0,6,1,2.3,2.3,3.5,5.8,68,95,146,0.11,0.18,0.28,0.11,0.28,0.08,0.12,0.2,0.08,0.2,dz ALG,DF,Wolves,Premier League,23-304,2001,28.3,3,28,7,25.0,0.99,0.25,0.11,0.43,15.1,0,0,0,2.3,2.3,0.08,0.7,0.7,dz ALG,DF,Wolves,Premier League,23-304,2001,28.3,1169,1387,84.3,16230,4857,715,765,93.5,361,416,86.8,39,94,41.5,5,3.5,2.6,1.5,32,64,23,5,95,dz ALG,DF,Wolves,Premier League,23-304,2001,28.3,1387,1131,252,35,3,4,69,197,20,17,1,0,1169,4,37,dz ALG,DF,Wolves,Premier League,23-304,2001,28.3,66,2.33,39,13,7,4,2,1,9,0.32,7,1,0,0,0,1,dz ALG,DF,Wolves,Premier League,23-304,2001,28.3,77,47,47,24,6,39,63,61.9,24,38,6,32,21,98,62,1,dz ALG,DF,Wolves,Premier League,23-304,2001,28.3,1728,81,475,745,529,72,1728,98,48,49.0,36,36.7,896,4944,2577,68,50,22,38,36,1038,146,dz ALG,DF,Wolves,Premier League,23-304,2001,30,"2,549",85,91.4,28.3,30,85,15,0,0,0,0.97,38,58,-20,-0.71,-2.2,31.9,44.7,-12.8,-0.45,-0.37,dz ALG,DF,Wolves,Premier League,23-304,2001,28.3,6,1,1,26,31,4,69,21,47,0,0,0,126,18,26,40.9,Rayan,Ait-Nouri,Rayan Ait-Nouri,35000000.0,35000000.0
Mason Greenwood,eng ENG,"FW,MF",Marseille,Ligue 1,23,2001,27,25,"2,191",24.3,15,3,18,10,5,6,1,0,12.2,7.4,4.2,11.6,100,123,231,0.62,0.12,0.74,0.41,0.53,0.5,0.17,0.67,0.3,0.48,eng ENG,"FW,MF",Marseille,Ligue 1,23-187,2001,24.3,15,88,36,40.9,3.61,1.48,0.11,0.28,20.1,2,5,6,12.2,7.4,0.08,2.8,2.6,eng ENG,"FW,MF",Marseille,Ligue 1,23-187,2001,24.3,881,1123,78.5,14720,3393,441,515,85.6,332,401,82.8,82,146,56.2,3,4.2,6.7,-1.2,33,63,57,11,123,eng ENG,"FW,MF",Marseille,Ligue 1,23-187,2001,24.3,1123,1058,60,13,10,18,90,7,34,25,1,0,881,5,17,eng ENG,"FW,MF",Marseille,Ligue 1,23-187,2001,24.3,99,4.07,61,10,10,11,7,0,16,0.66,12,0,1,2,1,0,eng ENG,"FW,MF",Marseille,Ligue 1,23-187,2001,24.3,32,16,10,13,9,15,34,44.1,19,4,0,4,9,41,5,2,eng ENG,"FW,MF",Marseille,Ligue 1,23-187,2001,24.3,1401,4,87,584,744,117,1395,107,48,44.9,50,46.7,965,5653,2931,100,62,54,42,35,1162,231,eng ENG,"FW,MF",Marseille,Ligue 1,23-187,2001,27,"2,191",81,90.2,24.3,25,85,12,2,37,0,1.81,49,30,19,0.78,1.16,43.3,30.4,12.9,0.53,0.84,eng ENG,"FW,MF",Marseille,Ligue 1,23-187,2001,24.3,1,0,0,17,29,2,90,9,16,2,0,0,72,7,6,53.8,Mason,Greenwood,Mason Greenwood,35000000.0,50000000.0
Evanilson,br BRA,FW,Bournemouth,Premier League,25,1999,24,21,"1,723",19.1,9,0,9,9,0,1,0,0,10.3,9.5,1.5,11.0,24,17,79,0.47,0.0,0.47,0.47,0.47,0.54,0.08,0.62,0.5,0.57,br BRA,FW,Bournemouth,Premier League,25-182,1999,19.1,9,55,27,49.1,2.87,1.41,0.16,0.33,13.0,0,0,1,10.3,9.5,0.17,-1.3,-0.5,br BRA,FW,Bournemouth,Premier League,25-182,1999,19.1,174,250,69.6,2120,420,114,155,73.5,37,52,71.2,8,10,80.0,0,1.5,1.5,-1.5,21,13,2,0,17,br BRA,FW,Bournemouth,Premier League,25-182,1999,19.1,250,245,4,0,4,3,0,0,0,0,0,0,174,1,9,br BRA,FW,Bournemouth,Premier League,25-182,1999,19.1,53,2.77,33,0,3,8,9,0,7,0.37,1,0,1,1,4,0,br BRA,FW,Bournemouth,Premier League,25-182,1999,19.1,11,6,4,4,3,5,9,55.6,4,8,1,7,0,11,14,0,br BRA,FW,Bournemouth,Premier League,25-182,1999,19.1,409,15,31,155,225,101,408,19,6,31.6,7,36.8,249,1360,643,24,13,13,28,19,291,79,br BRA,FW,Bournemouth,Premier League,25-182,1999,24,"1,723",72,61.8,19.1,21,79,4,3,23,1,1.42,28,25,3,0.16,-0.52,37.3,20.3,17.1,0.89,0.95,br BRA,FW,Bournemouth,Premier League,25-182,1999,19.1,0,0,0,26,40,14,0,0,6,5,0,0,52,32,52,38.1,,Evanilson,Evanilson,35000000.0,35000000.0
Harvey Elliott,eng ENG,"MF,FW",Liverpool,Premier League,22,2003,11,0,128,1.4,0,1,1,0,0,0,0,0,0.2,0.2,0.8,1.0,7,17,14,0.0,0.7,0.7,0.0,0.7,0.14,0.54,0.68,0.14,0.68,eng ENG,"MF,FW",Liverpool,Premier League,22-002,2003,1.4,0,6,1,16.7,4.22,0.7,0.0,0.0,16.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,eng ENG,"MF,FW",Liverpool,Premier League,22-002,2003,1.4,110,137,80.3,1998,490,58,63,92.1,34,46,73.9,14,20,70.0,1,0.8,0.4,0.2,4,9,3,0,17,eng ENG,"MF,FW",Liverpool,Premier League,22-002,2003,1.4,137,124,12,2,0,3,10,5,4,2,1,0,110,1,2,eng ENG,"MF,FW",Liverpool,Premier League,22-002,2003,1.4,7,4.92,5,2,0,0,0,0,2,1.41,2,0,0,0,0,0,eng ENG,"MF,FW",Liverpool,Premier League,22-002,2003,1.4,3,2,2,1,0,0,3,0.0,3,3,1,2,0,3,1,0,eng ENG,"MF,FW",Liverpool,Premier League,22-002,2003,1.4,156,1,14,62,81,10,156,4,2,50.0,2,50.0,91,436,232,7,5,5,2,1,115,14,eng ENG,"MF,FW",Liverpool,Premier League,22-002,2003,11,128,12,4.7,1.4,0,0,0,11,12,11,2.64,7,1,6,4.22,2.92,5.7,1.5,4.2,2.94,1.67,eng ENG,"MF,FW",Liverpool,Premier League,22-002,2003,1.4,0,0,0,0,0,1,10,0,2,0,0,0,7,1,1,50.0,Harvey,Elliott,Harvey Elliott,35000000.0,35000000.0
Anthony Elanga,se SWE,FW,Nott'ham Forest,Premier League,22,2002,31,25,"1,975",21.9,6,8,14,6,0,0,1,0,3.9,3.9,4.3,8.2,80,46,161,0.27,0.36,0.64,0.27,0.64,0.18,0.2,0.38,0.18,0.38,se SWE,FW,Nott'ham Forest,Premier League,22-344,2002,21.9,6,35,16,45.7,1.59,0.73,0.17,0.38,16.8,4,0,0,3.9,3.9,0.11,2.1,2.1,se SWE,FW,Nott'ham Forest,Premier League,22-344,2002,21.9,410,631,65.0,5917,2017,249,296,84.1,108,171,63.2,34,101,33.7,8,4.3,3.8,3.7,39,25,22,6,46,se SWE,FW,Nott'ham Forest,Premier League,22-344,2002,21.9,631,534,94,24,3,0,140,3,64,38,23,0,410,3,23,se SWE,FW,Nott'ham Forest,Premier League,22-344,2002,21.9,81,3.69,47,17,5,4,8,0,13,0.59,9,2,1,0,1,0,se SWE,FW,Nott'ham Forest,Premier League,22-344,2002,21.9,17,12,7,8,2,4,15,26.7,11,9,1,8,5,22,25,0,se SWE,FW,Nott'ham Forest,Premier League,22-344,2002,21.9,873,29,124,245,520,85,873,70,22,31.4,31,44.3,457,3606,2060,80,40,36,63,34,576,161,se SWE,FW,Nott'ham Forest,Premier League,22-344,2002,31,"1,975",64,70.8,21.9,25,74,8,6,21,0,1.84,38,27,11,0.5,0.17,27.6,28.5,-0.8,-0.04,-0.14,se SWE,FW,Nott'ham Forest,Premier League,22-344,2002,21.9,1,0,0,6,32,12,140,5,12,0,0,0,77,20,30,40.0,Anthony,Elanga,Anthony Elanga,35000000.0,35000000.0
Gianluigi Donnarumma,it ITA,GK,Paris S-G,Ligue 1,26,1999,21,21,"1,821",20.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,it ITA,GK,Paris S-G,Ligue 1,26-040,1999,20.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,it ITA,GK,Paris S-G,Ligue 1,26-040,1999,20.2,498,573,86.9,11071,6383,101,101,100.0,301,305,98.7,95,166,57.2,0,0.0,0.0,0.0,0,3,0,0,0,it ITA,GK,Paris S-G,Ligue 1,26-040,1999,20.2,573,462,111,30,0,0,0,0,0,0,0,0,498,0,0,it ITA,GK,Paris S-G,Ligue 1,26-040,1999,20.2,1,0.05,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,it ITA,GK,Paris S-G,Ligue 1,26-040,1999,20.2,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,10,0,it ITA,GK,Paris S-G,Ligue 1,26-040,1999,20.2,611,511,600,11,0,0,611,0,0,0.0,0,0.0,318,1478,942,0,0,0,0,0,334,0,it ITA,GK,Paris S-G,Ligue 1,26-040,1999,21,"1,821",87,72.3,20.2,21,87,20,0,0,4,2.62,57,20,37,1.83,-0.36,54.8,17.8,37.1,1.83,0.54,it ITA,GK,Paris S-G,Ligue 1,26-040,1999,20.2,2,0,0,0,2,0,0,0,1,0,0,0,30,3,0,100.0,Gianluigi,Donnarumma,Gianluigi Donnarumma,35000000.0,65000000.0
Carlos Baleba,cm CMR,MF,Brighton,Premier League,21,2004,27,24,"2,057",22.9,2,1,3,2,0,0,8,1,3.0,3.0,1.1,4.1,34,99,26,0.09,0.04,0.13,0.09,0.13,0.13,0.05,0.18,0.13,0.18,cm CMR,MF,Brighton,Premier League,21-093,2004,22.9,2,39,10,25.6,1.71,0.44,0.05,0.2,25.0,1,0,0,3.0,3.0,0.08,-1.0,-1.0,cm CMR,MF,Brighton,Premier League,21-093,2004,22.9,832,959,86.8,14039,3633,401,435,92.2,333,368,90.5,78,118,66.1,1,1.1,1.1,-0.1,18,92,22,2,99,cm CMR,MF,Brighton,Premier League,21-093,2004,22.9,959,951,6,5,5,2,7,1,0,0,0,0,832,2,9,cm CMR,MF,Brighton,Premier League,21-093,2004,22.9,56,2.45,46,0,2,4,1,3,4,0.18,2,0,0,0,1,1,cm CMR,MF,Brighton,Premier League,21-093,2004,22.9,61,32,19,30,12,38,62,61.3,24,35,6,29,39,100,27,1,cm CMR,MF,Brighton,Premier League,21-093,2004,22.9,1268,56,287,751,265,10,1268,48,29,60.4,16,33.3,684,3943,1981,34,33,2,32,31,749,26,cm CMR,MF,Brighton,Premier League,21-093,2004,27,"2,057",76,73.7,22.9,24,82,10,3,27,2,1.59,40,28,12,0.53,1.75,35.1,28.3,6.8,0.3,0.81,cm CMR,MF,Brighton,Premier League,21-093,2004,22.9,8,1,1,36,41,0,7,39,32,0,2,0,154,35,19,64.8,Carlos,Baleba,Carlos Baleba,35000000.0,35000000.0
Kingsley Coman,fr FRA,FW,Bayern Munich,Bundesliga,28,1996,22,11,"1,039",11.5,4,4,8,4,0,0,0,0,3.8,3.8,3.2,6.9,55,41,179,0.35,0.35,0.69,0.35,0.69,0.32,0.27,0.6,0.32,0.6,fr FRA,FW,Bayern Munich,Bundesliga,28-297,1996,11.5,4,38,15,39.5,3.29,1.3,0.11,0.27,16.8,0,0,0,3.8,3.8,0.1,0.2,0.2,fr FRA,FW,Bayern Munich,Bundesliga,28-297,1996,11.5,512,601,85.2,8025,1354,277,306,90.5,205,233,88.0,24,42,57.1,4,3.2,4.0,0.8,30,25,25,5,41,fr FRA,FW,Bayern Munich,Bundesliga,28-297,1996,11.5,601,586,14,0,0,2,36,6,0,0,0,0,512,1,9,fr FRA,FW,Bayern Munich,Bundesliga,28-297,1996,11.5,74,6.4,55,0,13,4,2,0,10,0.86,6,0,2,1,1,0,fr FRA,FW,Bayern Munich,Bundesliga,28-297,1996,11.5,15,10,5,5,5,6,10,60.0,4,7,0,7,7,22,14,0,fr FRA,FW,Bayern Munich,Bundesliga,28-297,1996,11.5,761,13,70,261,439,72,761,66,35,53.0,28,42.4,488,3124,1553,55,28,20,23,14,600,179,fr FRA,FW,Bayern Munich,Bundesliga,28-297,1996,22,"1,039",47,41.2,11.5,11,71,2,11,24,0,2.64,39,4,35,3.03,1.88,27.6,7.0,20.7,1.79,-0.01,fr FRA,FW,Bayern Munich,Bundesliga,28-297,1996,11.5,0,0,0,7,7,6,36,7,10,0,0,0,49,8,10,44.4,Kingsley,Coman,Kingsley Coman,35000000.0,65000000.0
Jonathan Burkardt,de GER,FW,Mainz 05,Bundesliga,24,2000,24,23,"1,665",18.5,15,2,17,14,1,1,0,0,11.9,11.1,2.7,13.7,25,36,128,0.81,0.11,0.92,0.76,0.86,0.64,0.14,0.79,0.6,0.74,de GER,FW,Mainz 05,Bundesliga,24-269,2000,18.5,15,51,22,43.1,2.76,1.19,0.27,0.64,13.3,0,1,1,11.9,11.1,0.22,3.1,2.9,de GER,FW,Mainz 05,Bundesliga,24-269,2000,18.5,308,430,71.6,5193,650,160,211,75.8,104,130,80.0,31,43,72.1,2,2.7,2.3,-0.7,15,17,15,3,36,de GER,FW,Mainz 05,Bundesliga,24-269,2000,18.5,430,388,41,0,2,8,22,5,0,0,0,0,308,1,22,de GER,FW,Mainz 05,Bundesliga,24-269,2000,18.5,38,2.05,30,0,2,3,3,0,6,0.32,4,0,0,1,1,0,de GER,FW,Mainz 05,Bundesliga,24-269,2000,18.5,10,6,1,4,5,3,7,42.9,4,9,1,8,1,11,13,0,de GER,FW,Mainz 05,Bundesliga,24-269,2000,18.5,642,16,43,311,291,91,641,32,13,40.6,19,59.4,353,1516,600,25,22,9,60,25,455,128,de GER,FW,Mainz 05,Bundesliga,24-269,2000,24,"1,665",69,66.1,18.5,23,71,7,1,24,0,1.67,34,23,11,0.59,0.28,27.2,26.0,1.3,0.07,0.3,de GER,FW,Mainz 05,Bundesliga,24-269,2000,18.5,0,0,0,16,20,10,22,1,6,1,0,0,60,18,69,20.7,Jonathan,Burkardt,Jonathan Burkardt,35000000.0,35000000.0
Diogo Dalot,pt POR,DF,Manchester Utd,Premier League,26,1999,29,29,"2,576",28.6,0,2,2,0,0,0,4,0,2.0,2.0,1.9,3.9,58,91,150,0.0,0.07,0.07,0.0,0.07,0.07,0.06,0.13,0.07,0.13,pt POR,DF,Manchester Utd,Premier League,26-019,1999,28.6,0,23,5,21.7,0.8,0.17,0.0,0.0,15.6,0,0,0,2.0,2.0,0.09,-2.0,-2.0,pt POR,DF,Manchester Utd,Premier League,26-019,1999,28.6,1249,1552,80.5,20191,6207,649,723,89.8,479,586,81.7,91,160,56.9,2,1.9,2.2,0.1,22,53,22,8,91,pt POR,DF,Manchester Utd,Premier League,26-019,1999,28.6,1552,1322,226,13,3,7,58,213,0,0,0,0,1249,4,35,pt POR,DF,Manchester Utd,Premier League,26-019,1999,28.6,68,2.38,51,5,7,4,0,1,4,0.14,2,0,1,1,0,0,pt POR,DF,Manchester Utd,Premier League,26-019,1999,28.6,60,35,36,19,5,29,45,64.4,16,20,9,11,35,95,68,0,pt POR,DF,Manchester Utd,Premier League,26-019,1999,28.6,1831,111,622,712,511,60,1831,45,23,51.1,19,42.2,1035,4579,2503,58,36,13,34,15,1101,150,pt POR,DF,Manchester Utd,Premier League,26-019,1999,29,"2,576",89,95.4,28.6,29,89,28,0,0,0,1.17,33,40,-7,-0.24,-2.42,37.0,43.3,-6.3,-0.22,-1.67,pt POR,DF,Manchester Utd,Premier League,26-019,1999,28.6,4,0,0,38,8,4,58,35,35,0,1,0,155,36,21,63.2,Diogo,Dalot,Diogo Dalot,35000000.0,40000000.0
Rayan Cherki,fr FRA,"FW,MF",Lyon,Ligue 1,21,2003,24,17,"1,578",17.5,7,9,16,7,0,0,3,0,4.5,4.5,8.3,12.7,65,168,143,0.4,0.51,0.91,0.4,0.91,0.25,0.47,0.73,0.25,0.73,fr FRA,"FW,MF",Lyon,Ligue 1,21-232,2003,17.5,7,33,13,39.4,1.88,0.74,0.21,0.54,16.5,3,0,0,4.5,4.5,0.14,2.5,2.5,fr FRA,"FW,MF",Lyon,Ligue 1,21-232,2003,17.5,824,1052,78.3,13216,4012,449,504,89.1,293,353,83.0,63,134,47.0,9,8.3,9.4,0.7,58,76,59,3,168,fr FRA,"FW,MF",Lyon,Ligue 1,21-232,2003,17.5,1052,906,138,27,18,12,100,25,81,25,43,0,824,8,20,fr FRA,"FW,MF",Lyon,Ligue 1,21-232,2003,17.5,111,6.33,75,17,8,7,4,0,16,0.91,11,2,1,2,0,0,fr FRA,"FW,MF",Lyon,Ligue 1,21-232,2003,17.5,14,11,3,7,4,5,24,20.8,19,6,0,6,6,20,6,0,fr FRA,"FW,MF",Lyon,Ligue 1,21-232,2003,17.5,1207,5,89,503,638,94,1207,81,40,49.4,36,44.4,756,4741,2513,65,66,28,35,35,929,143,fr FRA,"FW,MF",Lyon,Ligue 1,21-232,2003,24,"1,578",66,62.6,17.5,17,79,7,7,33,0,1.83,37,21,16,0.91,0.91,31.7,23.9,7.8,0.45,0.31,fr FRA,"FW,MF",Lyon,Ligue 1,21-232,2003,17.5,3,0,0,16,29,1,100,6,11,0,0,0,69,3,8,27.3,Rayan,Cherki,Rayan Cherki,35000000.0,35000000.0
Enzo Millot,fr FRA,"MF,FW",Stuttgart,Bundesliga,22,2002,26,20,"1,628",18.1,4,4,8,4,0,1,8,0,7.1,6.3,2.8,9.1,37,106,113,0.22,0.22,0.44,0.22,0.44,0.39,0.15,0.55,0.35,0.5,fr FRA,"MF,FW",Stuttgart,Bundesliga,22-263,2002,18.1,4,38,14,36.8,2.1,0.77,0.11,0.29,16.4,0,0,1,7.1,6.3,0.17,-3.1,-2.3,fr FRA,"MF,FW",Stuttgart,Bundesliga,22-263,2002,18.1,838,991,84.6,11921,2954,531,582,91.2,255,296,86.1,38,71,53.5,4,2.8,3.2,1.2,20,76,27,2,106,fr FRA,"MF,FW",Stuttgart,Bundesliga,22-263,2002,18.1,991,945,45,9,5,5,36,10,19,3,10,1,838,1,23,fr FRA,"MF,FW",Stuttgart,Bundesliga,22-263,2002,18.1,60,3.31,43,2,5,7,3,0,9,0.5,7,0,1,1,0,0,fr FRA,"MF,FW",Stuttgart,Bundesliga,22-263,2002,18.1,24,11,10,11,3,9,29,31.0,20,25,0,25,11,35,6,1,fr FRA,"MF,FW",Stuttgart,Bundesliga,22-263,2002,18.1,1220,7,159,657,415,59,1219,61,28,45.9,32,52.5,712,3752,1550,37,29,10,45,32,927,113,fr FRA,"MF,FW",Stuttgart,Bundesliga,22-263,2002,26,"1,628",63,64.6,18.1,20,76,6,6,19,1,1.42,33,26,7,0.39,0.39,30.1,25.2,4.9,0.27,0.01,fr FRA,"MF,FW",Stuttgart,Bundesliga,22-263,2002,18.1,8,0,0,22,35,3,36,11,11,0,1,0,92,6,19,24.0,Enzo,Millot,Enzo Millot,35000000.0,42000000.0
Abdukodir Khusanov,uz UZB,DF,Lens,Ligue 1,21,2004,13,11,975,10.8,0,0,0,0,0,0,2,1,0.2,0.2,0.3,0.6,2,43,6,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,uz UZB,DF,Lens,Ligue 1,21-036,2004,10.8,0,6,4,66.7,0.55,0.37,0.0,0.0,24.6,2,0,0,0.2,0.2,0.04,-0.2,-0.2,uz UZB,DF,Lens,Ligue 1,21-036,2004,10.8,483,548,88.1,8942,3769,174,188,92.6,255,276,92.4,43,64,67.2,0,0.3,0.2,-0.3,2,39,4,1,43,uz UZB,DF,Lens,Ligue 1,21-036,2004,10.8,548,521,26,13,0,3,5,8,0,0,0,0,483,1,3,uz UZB,DF,Lens,Ligue 1,21-036,2004,10.8,11,1.02,9,0,0,2,0,0,0,0.0,0,0,0,0,0,0,uz UZB,DF,Lens,Ligue 1,21-036,2004,10.8,15,11,9,5,1,7,11,63.6,4,17,11,6,26,41,57,0,uz UZB,DF,Lens,Ligue 1,21-036,2004,10.8,683,90,335,322,34,4,683,1,1,100.0,0,0.0,339,1452,642,2,4,0,5,1,392,6,uz UZB,DF,Lens,Ligue 1,21-036,2004,13,975,75,40.1,10.8,11,87,10,2,9,0,1.62,12,9,3,0.28,0.4,14.3,13.1,1.3,0.12,-0.03,uz UZB,DF,Lens,Ligue 1,21-036,2004,10.8,2,1,0,13,3,0,5,26,11,0,1,0,50,27,12,69.2,Abdukodir,Khusanov,Abdukodir Khusanov,35000000.0,35000000.0
Mohamed Simakan,fr FRA,DF,RB Leipzig,Bundesliga,24,2000,1,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,3,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46,fr FRA,DF,RB Leipzig,Bundesliga,24-338,2000,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,fr FRA,DF,RB Leipzig,Bundesliga,24-338,2000,0.6,42,50,84.0,779,306,15,19,78.9,21,23,91.3,5,5,100.0,0,0.3,0.2,-0.3,3,5,2,1,7,fr FRA,DF,RB Leipzig,Bundesliga,24-338,2000,0.6,50,44,6,0,0,0,1,6,0,0,0,0,42,0,1,fr FRA,DF,RB Leipzig,Bundesliga,24-338,2000,0.6,3,5.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,fr FRA,DF,RB Leipzig,Bundesliga,24-338,2000,0.6,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,0,0,fr FRA,DF,RB Leipzig,Bundesliga,24-338,2000,0.6,52,0,9,35,9,2,52,1,0,0.0,0,0.0,27,130,70,3,1,0,0,0,39,4,fr FRA,DF,RB Leipzig,Bundesliga,24-338,2000,1,54,54,2.1,0.6,1,54,0,0,0,0,3.0,0,0,0,0.0,-0.33,0.9,0.8,0.1,0.13,0.26,fr FRA,DF,RB Leipzig,Bundesliga,24-338,2000,0.6,0,0,0,0,1,0,1,2,0,0,0,0,3,3,1,75.0,Mohamed,Simakan,Mohamed Simakan,35000000.0,35000000.0
Liam Delap,eng ENG,FW,Ipswich Town,Premier League,22,2003,30,29,"2,324",25.8,12,2,14,10,2,2,8,0,9.0,7.4,1.9,9.2,57,29,100,0.46,0.08,0.54,0.39,0.46,0.35,0.07,0.42,0.29,0.36,eng ENG,FW,Ipswich Town,Premier League,22-057,2003,25.8,12,58,26,44.8,2.25,1.01,0.17,0.38,15.9,0,2,2,9.0,7.4,0.13,3.0,2.6,eng ENG,FW,Ipswich Town,Premier League,22-057,2003,25.8,199,325,61.2,2780,618,111,158,70.3,63,100,63.0,9,22,40.9,2,1.9,1.4,0.1,20,15,6,0,29,eng ENG,FW,Ipswich Town,Premier League,22-057,2003,25.8,325,318,5,0,7,1,4,2,0,0,0,0,199,2,14,eng ENG,FW,Ipswich Town,Premier League,22-057,2003,25.8,59,2.29,27,0,10,7,13,2,7,0.27,3,0,2,0,2,0,eng ENG,FW,Ipswich Town,Premier League,22-057,2003,25.8,10,7,3,2,5,2,14,14.3,12,8,0,8,2,12,26,0,eng ENG,FW,Ipswich Town,Premier League,22-057,2003,25.8,612,28,71,254,303,83,610,74,35,47.3,31,41.9,403,2959,1388,57,41,27,92,54,485,100,eng ENG,FW,Ipswich Town,Premier League,22-057,2003,30,"2,324",77,83.3,25.8,29,80,3,1,18,0,0.67,24,50,-26,-1.01,0.54,24.3,47.4,-23.1,-0.9,0.95,eng ENG,FW,Ipswich Town,Premier League,22-057,2003,25.8,8,0,0,63,46,13,4,2,7,2,0,0,55,49,61,44.5,Liam,Delap,Liam Delap,35000000.0,35000000.0
